"Step","magic-salad-1128 - loss","magic-salad-1128 - loss__MIN","magic-salad-1128 - loss__MAX"
"364","168.89242553710938","168.89242553710938","168.89242553710938"
"365","120.71147155761719","120.71147155761719","120.71147155761719"
"366","137.9845733642578","137.9845733642578","137.9845733642578"
"367","152.35989379882812","152.35989379882812","152.35989379882812"
"368","117.64433288574219","117.64433288574219","117.64433288574219"
"369","126.89633178710938","126.89633178710938","126.89633178710938"
"370","163.00685119628906","163.00685119628906","163.00685119628906"
"371","143.5747833251953","143.5747833251953","143.5747833251953"
"372","136.81130981445312","136.81130981445312","136.81130981445312"
"373","155.2151336669922","155.2151336669922","155.2151336669922"
"374","137.0318603515625","137.0318603515625","137.0318603515625"
"375","148.9862060546875","148.9862060546875","148.9862060546875"
"376","133.07403564453125","133.07403564453125","133.07403564453125"
"377","142.17127990722656","142.17127990722656","142.17127990722656"
"378","136.65264892578125","136.65264892578125","136.65264892578125"
"379","140.71884155273438","140.71884155273438","140.71884155273438"
"380","117.81925964355469","117.81925964355469","117.81925964355469"
"381","128.00830078125","128.00830078125","128.00830078125"
"382","125.46965026855469","125.46965026855469","125.46965026855469"
"383","124.48302459716797","124.48302459716797","124.48302459716797"
"384","111.93064880371094","111.93064880371094","111.93064880371094"
"385","138.88771057128906","138.88771057128906","138.88771057128906"
"386","133.38485717773438","133.38485717773438","133.38485717773438"
"387","120.65725708007812","120.65725708007812","120.65725708007812"
"388","129.2272491455078","129.2272491455078","129.2272491455078"
"389","138.88330078125","138.88330078125","138.88330078125"
"390","123.34896087646484","123.34896087646484","123.34896087646484"
"391","136.86952209472656","136.86952209472656","136.86952209472656"
"392","141.034912109375","141.034912109375","141.034912109375"
"393","143.3607940673828","143.3607940673828","143.3607940673828"
"394","126.1503677368164","126.1503677368164","126.1503677368164"
"395","115.36254119873047","115.36254119873047","115.36254119873047"
"396","120.79353332519531","120.79353332519531","120.79353332519531"
"397","138.0180206298828","138.0180206298828","138.0180206298828"
"398","135.5713348388672","135.5713348388672","135.5713348388672"
"399","131.92410278320312","131.92410278320312","131.92410278320312"
"400","171.9400177001953","171.9400177001953","171.9400177001953"
"401","136.53562927246094","136.53562927246094","136.53562927246094"
"402","145.06915283203125","145.06915283203125","145.06915283203125"
"403","123.32002258300781","123.32002258300781","123.32002258300781"
"404","141.28199768066406","141.28199768066406","141.28199768066406"
"405","137.7412872314453","137.7412872314453","137.7412872314453"
"406","199.9001922607422","199.9001922607422","199.9001922607422"
"407","122.97317504882812","122.97317504882812","122.97317504882812"
"408","204.13278198242188","204.13278198242188","204.13278198242188"
"409","217.57089233398438","217.57089233398438","217.57089233398438"
"410","127.9122085571289","127.9122085571289","127.9122085571289"
"411","165.8046875","165.8046875","165.8046875"
"412","263.97882080078125","263.97882080078125","263.97882080078125"
"413","199.0008544921875","199.0008544921875","199.0008544921875"
"414","140.2673797607422","140.2673797607422","140.2673797607422"
"415","184.18621826171875","184.18621826171875","184.18621826171875"
"416","261.58441162109375","261.58441162109375","261.58441162109375"
"417","165.36874389648438","165.36874389648438","165.36874389648438"
"418","148.88919067382812","148.88919067382812","148.88919067382812"
"419","198.08358764648438","198.08358764648438","198.08358764648438"
"420","184.70260620117188","184.70260620117188","184.70260620117188"
"421","121.36355590820312","121.36355590820312","121.36355590820312"
"422","192.95066833496094","192.95066833496094","192.95066833496094"
"423","192.59906005859375","192.59906005859375","192.59906005859375"
"424","134.83216857910156","134.83216857910156","134.83216857910156"
"425","142.00836181640625","142.00836181640625","142.00836181640625"
"426","204.24478149414062","204.24478149414062","204.24478149414062"
"427","198.62704467773438","198.62704467773438","198.62704467773438"
"428","136.603759765625","136.603759765625","136.603759765625"
"429","161.50125122070312","161.50125122070312","161.50125122070312"
"430","154.72763061523438","154.72763061523438","154.72763061523438"
"431","111.79547882080078","111.79547882080078","111.79547882080078"
"432","134.6374969482422","134.6374969482422","134.6374969482422"
"433","157.08737182617188","157.08737182617188","157.08737182617188"
"434","162.58998107910156","162.58998107910156","162.58998107910156"
"435","113.5054931640625","113.5054931640625","113.5054931640625"
"436","170.74746704101562","170.74746704101562","170.74746704101562"
"437","123.541748046875","123.541748046875","123.541748046875"
"438","132.794921875","132.794921875","132.794921875"
"439","136.6432647705078","136.6432647705078","136.6432647705078"
"440","145.41526794433594","145.41526794433594","145.41526794433594"
"441","160.618896484375","160.618896484375","160.618896484375"
"442","124.33250427246094","124.33250427246094","124.33250427246094"
"443","160.442138671875","160.442138671875","160.442138671875"
"444","133.44281005859375","133.44281005859375","133.44281005859375"
"445","111.58161926269531","111.58161926269531","111.58161926269531"
"446","152.09674072265625","152.09674072265625","152.09674072265625"
"447","118.23299407958984","118.23299407958984","118.23299407958984"
"448","140.17881774902344","140.17881774902344","140.17881774902344"
"461","129.24819946289062","129.24819946289062","129.24819946289062"
"462","109.44599914550781","109.44599914550781","109.44599914550781"
"463","134.5586395263672","134.5586395263672","134.5586395263672"
"464","133.04393005371094","133.04393005371094","133.04393005371094"
"465","95.46624755859375","95.46624755859375","95.46624755859375"
"466","107.51933288574219","107.51933288574219","107.51933288574219"
"467","147.884033203125","147.884033203125","147.884033203125"
"468","108.77063751220703","108.77063751220703","108.77063751220703"
"469","141.0843963623047","141.0843963623047","141.0843963623047"
"470","155.7040557861328","155.7040557861328","155.7040557861328"
"471","89.44588470458984","89.44588470458984","89.44588470458984"
"472","125.59458923339844","125.59458923339844","125.59458923339844"
"473","163.14334106445312","163.14334106445312","163.14334106445312"
"474","124.61468505859375","124.61468505859375","124.61468505859375"
"475","126.91079711914062","126.91079711914062","126.91079711914062"
"476","110.71256256103516","110.71256256103516","110.71256256103516"
"477","97.64215850830078","97.64215850830078","97.64215850830078"
"478","140.7157440185547","140.7157440185547","140.7157440185547"
"479","153.81143188476562","153.81143188476562","153.81143188476562"
"480","151.71603393554688","151.71603393554688","151.71603393554688"
"481","140.07379150390625","140.07379150390625","140.07379150390625"
"482","123.87004089355469","123.87004089355469","123.87004089355469"
"483","105.99673461914062","105.99673461914062","105.99673461914062"
"484","171.07305908203125","171.07305908203125","171.07305908203125"
"485","157.0889129638672","157.0889129638672","157.0889129638672"
"486","154.4724578857422","154.4724578857422","154.4724578857422"
"487","137.74070739746094","137.74070739746094","137.74070739746094"
"488","161.12904357910156","161.12904357910156","161.12904357910156"
"489","130.7080535888672","130.7080535888672","130.7080535888672"
"490","93.6512680053711","93.6512680053711","93.6512680053711"
"491","146.98580932617188","146.98580932617188","146.98580932617188"
"492","144.2112579345703","144.2112579345703","144.2112579345703"
"493","130.61361694335938","130.61361694335938","130.61361694335938"
"494","117.27437591552734","117.27437591552734","117.27437591552734"
"495","170.2528076171875","170.2528076171875","170.2528076171875"
"496","149.85154724121094","149.85154724121094","149.85154724121094"
"497","113.441650390625","113.441650390625","113.441650390625"
"498","157.7600860595703","157.7600860595703","157.7600860595703"
"499","118.7799072265625","118.7799072265625","118.7799072265625"
"500","137.94606018066406","137.94606018066406","137.94606018066406"
"501","151.1592559814453","151.1592559814453","151.1592559814453"
"502","145.00616455078125","145.00616455078125","145.00616455078125"
"503","128.83248901367188","128.83248901367188","128.83248901367188"
"504","113.3916015625","113.3916015625","113.3916015625"
"505","116.61085510253906","116.61085510253906","116.61085510253906"
"506","134.5458984375","134.5458984375","134.5458984375"
"507","149.8981475830078","149.8981475830078","149.8981475830078"
"508","126.94612121582031","126.94612121582031","126.94612121582031"
"509","110.63507080078125","110.63507080078125","110.63507080078125"
"510","107.77930450439453","107.77930450439453","107.77930450439453"
"511","131.15341186523438","131.15341186523438","131.15341186523438"
"512","121.75532531738281","121.75532531738281","121.75532531738281"
"513","116.45793914794922","116.45793914794922","116.45793914794922"
"514","107.04145812988281","107.04145812988281","107.04145812988281"
"515","113.83064270019531","113.83064270019531","113.83064270019531"
"516","102.13526153564453","102.13526153564453","102.13526153564453"
"517","106.4194564819336","106.4194564819336","106.4194564819336"
"518","117.77091979980469","117.77091979980469","117.77091979980469"
"519","113.70394897460938","113.70394897460938","113.70394897460938"
"520","143.94866943359375","143.94866943359375","143.94866943359375"
"521","96.13739013671875","96.13739013671875","96.13739013671875"
"522","97.79627990722656","97.79627990722656","97.79627990722656"
"523","98.37201690673828","98.37201690673828","98.37201690673828"
"524","102.71612548828125","102.71612548828125","102.71612548828125"
"525","110.5980224609375","110.5980224609375","110.5980224609375"
"526","107.17247009277344","107.17247009277344","107.17247009277344"
"527","99.08938598632812","99.08938598632812","99.08938598632812"
"528","99.71356964111328","99.71356964111328","99.71356964111328"
"529","104.94328308105469","104.94328308105469","104.94328308105469"
"530","97.10476684570312","97.10476684570312","97.10476684570312"
"531","110.7925796508789","110.7925796508789","110.7925796508789"
"532","127.07572937011719","127.07572937011719","127.07572937011719"
"533","94.5301284790039","94.5301284790039","94.5301284790039"
"534","125.07816314697266","125.07816314697266","125.07816314697266"
"535","95.63664245605469","95.63664245605469","95.63664245605469"
"536","108.80560302734375","108.80560302734375","108.80560302734375"
"537","132.66329956054688","132.66329956054688","132.66329956054688"
"538","111.57405090332031","111.57405090332031","111.57405090332031"
"539","122.42462158203125","122.42462158203125","122.42462158203125"
"540","117.72856140136719","117.72856140136719","117.72856140136719"
"541","90.50936126708984","90.50936126708984","90.50936126708984"
"542","109.15998077392578","109.15998077392578","109.15998077392578"
"543","133.28350830078125","133.28350830078125","133.28350830078125"
"544","83.64315032958984","83.64315032958984","83.64315032958984"
"545","111.01228332519531","111.01228332519531","111.01228332519531"
"546","118.60951232910156","118.60951232910156","118.60951232910156"
"547","103.15486145019531","103.15486145019531","103.15486145019531"
"548","113.50917053222656","113.50917053222656","113.50917053222656"
"549","104.38207244873047","104.38207244873047","104.38207244873047"
"550","109.68986511230469","109.68986511230469","109.68986511230469"
"551","111.53130340576172","111.53130340576172","111.53130340576172"
"552","117.2513427734375","117.2513427734375","117.2513427734375"
"553","140.8684539794922","140.8684539794922","140.8684539794922"
"554","140.72715759277344","140.72715759277344","140.72715759277344"
"555","95.73583984375","95.73583984375","95.73583984375"
"556","108.61824798583984","108.61824798583984","108.61824798583984"
"557","123.32122039794922","123.32122039794922","123.32122039794922"
"558","81.54505920410156","81.54505920410156","81.54505920410156"
"559","103.0185546875","103.0185546875","103.0185546875"
"560","115.23526000976562","115.23526000976562","115.23526000976562"
"573","119.62718963623047","119.62718963623047","119.62718963623047"
"574","119.90715026855469","119.90715026855469","119.90715026855469"
